មុជទឹក,"[muc tɨk] [[មុជ]] [[ទឹក]] <br>1). to dive in the water;<br> to take a shower or bath "
អភិបាលដ្ឋាន,"[ʔaʔpʰiʔ baal ------] [[អភិបាល]] [[ដ្ឋាន]] <br>1). control office;<br> control register "
ស្លេក,"[sleek] <br>1). adj to be deathly pale
ភ្លៀង,"[plieŋ] <br>1a). n rain. <br>1b). v to rain ភ្លៀងដូច​គេចាក់ទឹកតែម្តង The rain came down in buckets. មេឃចង់ភ្លៀង It is about to rain. "
យសសម្ប័ទ,"[yʊəh sɑmbat] [[យស]] [[សម្ប័ទ]] <br>1). honor
ទុក្ខ,"[tuk
បោះភ្ជាប់,"[bɑh pcoap] [[បោះ]] [[ភ្ជាប់]] <br>1). to fasten "
ឥស្សរសព្ទ,"[--i4-- ] [[ឥស្សរសព្ទ]] <br>1). words used to address high officials
យន្តបថ,"[yʊən bɑt] [[យន្ត]] [[បថ]] <br>1). road (for cars only) "
ជូរជ្រេញ,"[cuu crɨɲ] [[ជូរ]] [[ជ្រេញ]] <br>1). to be very sour (of spoiled foodstuffs) "
របស់រាវ,"[rɔbɑh riev] [[របស់]] [[រាវ]] <br>1). liquid (more common form is វត្ថុរាវ ) "
ផ្សារក្រោម,"[psaa kraom] [[ផ្សារ]] [[ក្រោម]] <br>1). lower (downstream) market "
បញ្ញាជន,"[paɲɲaa cɔɔn] [[បញ្ញា]] [[ជន]] <br>1). intellectual "
ច្នៃ,"[cnay] <br>1). v to grind;<br> to polish a gem (esp. a diamond) <br>2). v to improve;<br> to process
គោលព្រំ(ប្រទល់)ដែន,"<br>1). boundary marker "
វាសសំដី,"[vieh sɑmdəy] [[វាស]] [[សំដី]] <br>1). to speak highly of / brag about oneself "
ទឹកភ្លៀង,"[tɨk pliəŋ] [[ទឹក]] [[ភ្លៀង]] <br>1). rain
ទៅស៊ែម,"[tɨv~toh sɛɛm] [[ទៅ]] [[ស៊ែម]] <br>1). to go along with
គំនូសតំណាង,"[kumnuuh dɑmnaaŋ] [[គំនូស]] [[តំណាង]] <br>1). representation "
ថ្នាំចំ,"[tnam cɑm] [[ថ្នាំ]] [[ចំ]] <br>1). effective medicine "
លិចលែងងើបរួច,"[lɨc lɛɛŋ ŋəəp ruəc] [[លិច]] [[លែង]] [[ងើប]] [[រួច]] <br>1). to have fallen in rank / status;<br> to be ruined / bankrupt (in business) "
សំពត់ជាយជើង,"[sɑmpʊət ciey cəəŋ] [[សំពត់]] [[ជាយ]] [[ជើង]] <br>1). See: សំពត់ជរជើង "
សក្យរដ្ឋ,"[saʔkyaʔ roat~roattʰaʔ] [[សក្យ]] [[រដ្ឋ]] <br>1). land of the Shakyas "
តារាសាស្ត្រវិទូ,"[taaraa~daaraa saah viʔtuu] [[តារាសាស្ត្រ]] [[វិទូ]] <br>1). astronomer "
ស្លាប់ព្រាយ,"[slap priey] [[ស្លាប់]] [[ព្រាយ]] <br>1). to die in child birth (of the mother)
ផ្ទាប់អន្លក់,"[ptoap ʔɑnlʊək] [[ផ្ទាប់]] [[អន្លក់]] <br>1). to dip (e.g. a slice of some vegetable such as carrot or cucumber) in some sauce "
ក្រស័យ,"[krɑsay] <br>1). n wasting disease (esp. tuberculosis) "
ស្រងើ,"[srɑŋaə] <br>1a). adj to be raised in astonishment (of the head)
ទីជំរៅ,"[tii cumrɨv] [[ទី]] [[ជំរៅ]] <br>1). vagina (euphemism) "
កិនកំទេច,"[kən kɑmtɨc] [[កិន]] [[កំទេច]] <br>1). to crush
អស់ហើយ,"[ʔɑh haǝy] [[អស់]] [[ហើយ]] <br>1). all gone<br>#..). all gone
ទីជំរំ,"[tii cumrum] [[ទី]] [[ជំរំ]] <br>1). camp
រន្ឋហេវ,"[rʊən heɛv] [[រន្ធ]] [[ហេវ]] <br>1). twisting underground tunnel with a small entrance "
ភាពមិនចុះចាញ់គ្នា,"[pʰiep mɨn coh caɲ knie] [[ភាព]] [[មិន]] [[ចុះចាញ់]] [[គ្នា]] <br>1). standoff "
ប្រចី,"[prɑcəy] <br>1a). n leader (part of the fishing line to which the hook is attached). <br>1b). v to tie a hook to a fishing line. <br>1c). to lure "
ត្រុយតំរុយ,"[troy tɑmroy] [[ត្រុយ]] [[តំរុយ]] <br>1). to lay out
គ្រឿងស្រវឹង,"[krɨəŋ srɑvǝŋ] [[គ្រឿង]] [[ស្រវឹង]] <br>1). intoxicant
ទុរេន,"[tuʔrein
សមាចារ,"[saʔmaacaa] <br>1). n good behavior / manners / conduct eg. វចីសមាចារ . polite speech "
បាឋកៈ,"[paatʰaʔ ------ ] [[បាឋ]] [[កៈ]] <br>1). one who recites Pali prayers;<br> storyteller See: បាឋិកា "
រញង់,"[rɔɲʊəŋ] <br>1). adv (to be huddled together) in a mass / group / band / flock / herd
យ៉ាងរំភើប,"[yaaŋ rumpʰəəp] [[យ៉ាង]] [[រំភើប]] <br>1). touching "
វិករ,"[viʔkɑɑ
ពឺត,"[pɨɨt] <br>1a). v to try very hard;<br> to speed up;<br> to rush. <br>1b). adv at full speed
វិកល,"[vikɑl
ជំនាត់,"[cumnoat] <br>1). n draining off "
ម្យប់,"[myup] <br>1). n one night (contraction of មួយយប់​ ) "
សមាភាគ,"[saʔmaapʰiek] <br>1). n ratio
ត្រប់ពុតលំញង,"[trɑp put lumɲɔɔŋ] [[ត្រប់]] [[ពុត]] [[លំញង]] <br>1). kind of eggplant (Solanum torvum) with clusters of small green fruit "
ខិត្តទាន,"[kʰəttaʔtien] <br>1). n profusion
ពណ៌ទឹកប៊ិច,"[poa tɨk bic] [[ពណ៌]] [[ទឹក]] [[ប៊ិច]] <br>1). blue eg. ម៉ូតូហុងដាពណ៌ទឹកប៊ិច . a blue Honda motorcycle "
ស្លេវ,"[sleev] <br>1). adj to be tall and straight;<br> to be high and far away <br>2). adv quickly
វិជ្ឈមាត្រ,"[viccʰeaʔmiet] <br>1). n diameter
មារវិជ័យ,"[mie reaʔviʔ cey] [[មា]] [[រវិ]] [[ជ័យ]] <br>1). the one who was victorious over the Tempter (epithet of the Buddha) "
សន្ទេសហារ,"[sɑnteisaʔhaa] <br>1). n diplomat
នឹករំពឹង,"[nɨk rumpɨŋ] [[នឹក]] [[រំពឹង]] <br>1). See: នឹកជញ្ជឹង "
ធ្លាក់ខ្ជាក,"[tleak kciek] [[ធ្លាក់]] [[ខ្ជាក]] <br>1). to fall with a plop "
គុកចង្ក្រាន,"[kuk ------] [[គុក]] [[ចង្ក្រាន]] <br>1). large brick or clay oven used esp. for boiling kettles of sugar palm juice (= គុក 2) <br>#..). oven dug into the ground "
និយាយសំរួល,"[niʔyiey ------] [[និយាយ]] [[សំរួល]] <br>1). to talk in a conciliatory manner "
ពាណិជ្ជសាស្ត្រ,"[pienɨc saah] [[ពាណិជ្ជ]] [[សាស្ត្រ]] <br>1). commercial studies
ជិត,"[cɨt] <br>1a). adj to be close
អាសារៀន,"[ʔaasaa riən] [[អាសា]] [[រៀន]] <br>1). to study hard "
សិល្បនិមិត្ត,"[səlləpaʔ~səl niʔmit] [[សិល្ប]] [[និមិត្ត]] <br>1). to be artificial "
ឡើងសរសៃក,"[laəŋ sɑɑ say kɑɑ] [[ឡើង]] [[សរសៃ]] [[ក]] <br>1). to shout
ប្រាឃាត,"[praakʰiet] <br>1). n battle
ជិប,"[cɨp] <br>1a). v to sip (in order to taste);<br> to sample a very small quantity (of food or drink) in order to identify the taste. <br>1b). n sip
ញ៉ែង,"[ɲaeŋ] <br>1). n pack saddle (for an elephant)
ភ្លេចឈឹង,"[plɨc cʰɨŋ] [[ភ្លេច]] [[ឈឹង]] <br>1). to forget completely "
ក្រុមប្រឹក្សាសាធារណរដ្ឋ,"[krom~krommaʔ- prəksaa saa tʰie nɑɑ roat~roattʰaʔ] [[ក្រុមប្រឹក្សា]] [[សាធារណរដ្ឋ]] <br>1). Council of the Republic "
បះបោរ,"[bah bao] [[បះ]] [[បោរ]] <br>1). to have an uprising / riot / strike;<br> to protest
រថចរិយា,"[rʊət caʔreʔyaa] [[រថ]] [[ចរិយា]] <br>1). training horses to pull chariots;<br> practice at driving chariots;<br> trip by horsecart or chariot See: រថចរ្យា "
ស្រប៉ែកស្រប៉ើក,"<br>1). See: ស្រប៉ើក "
បង្អន់កំឡាំង,"[bɑŋʔɑn ------] [[បង្អន់]] [[កំឡាំង]] <br>1). to reduce (someone's) strength "
ប្រថុជ្ជន,"[prɑtʰoccʊən] <br>1a). n ordinary people (who are still far from enlightenment and Nirvana). <br>1b). adj to be ordinary
ចេរចា,"[cee(raʔ)caa] <br>1). v to discuss
ដោយសំងាត់,"[daoy ------] [[ដោយ]] [[សំងាត់]] <br>1). secretly
ផ្កាយកញ្ចុំ,"[pkaay kɑɲcom] [[ផ្កាយ]] [[កញ្ចុំ]] <br>1). Pleiades (the constellation) "
ស្នាមរលាក,"[snaam rɔliek] [[ស្នាម]] [[រលាក]] <br>1). burn / scald scar <br>#..). scar of a burn "
រលង់,"[rɔlʊəŋ] <br>1a). adj to be clear;<br> shining
រោគងងុយ,"[rook ŋɔŋuy] [[រោគ]] [[ងងុយ]] <br>1). epidemic typhus fever "
ត្រូវធ្លុងគ្នា,"[trəv tluŋ knie] [[ត្រូវ]] [[ធ្លុង]] [[គ្នា]] <br>1). to be identical "
ពង្រួប,"<br>1). See: បង្រួប "
ចែងច្បាប់,"[caeŋ cbap] [[ចែង]] [[ច្បាប់]] <br>1). to write a law "
ច្រហាំង,"[crɑhaŋ] <br>1). adj to be wide open (of a slit) "
ស្រងែ,"[srɑŋae] <br>1). n kind of aquatic cereal plant (the grain is used as a rice substitute) <br>2). See: ក្ដាម ស្រងែ <br>3). See: ពស់វែកស្រងែ "
ត្រីព័ន្ធ,"[trəy poan] [[ត្រី]] [[ព័ន្ធ]] <br>1). one who has been married three times "
តោតម៉ា,"[taot maa] <br>1). n kind of tropical plant the leaves of which are used for roofing houses "
ពង្រួម,"<br>1). See: បង្រួម "
ស្រងៅ,"[srɑŋav] <br>1a). adj to be highly polished
ចូលក្នុងរដូវវស្សា,"[cool knoŋ rɔdəv voahsaa] [[ចូល]] [[ក្នុង]] [[រដូវវស្សា]] <br>1). the rainy season set in "
រុំកោះ,"[rum kɑh] [[រុំ]] [[កោះ]] <br>1). to be covered in several layers;<br> tangled up
សមណគោរព,"[saʔmaʔnaʔ koorup] [[សមណ]] [[គោរព]] <br>1). respect for monks "
គហបតី,"[keaʔhaʔpaʔdəy] <br>1). n owner
អាគារិយ,"<br>1). See: អាគារ (2) "
បង្កងសៅទាវ,"[bɑŋkɑɑŋ sav tie vɔɔ] [[បង្កង]] [[សៅ]] [[ទា]] [[វ]] <br>1). lobster "
សត្វហីនជាតិ,"[sat hǝyneaʔ~hǝn ciet] [[សត្វ]] [[ហីនជាតិ]] <br>1). lower animals;<br> small-bodied animals (e.g. insects) "
គ្មានទំនង,"[kmien tumnɔɔŋ] [[គ្មាន]] [[ទំនង]] <br>1). improperly
ស្គោកសោះកក្រោះ,"[skook sɑh kɑkrɑh] [[ស្គោក]] [[សោះកក្រោះ]] <br>1). See: ស្គោកស្គាំង "
ឆ្នាំទៅមិញ,"[cnam tɨv~toh mɨɲ] [[ឆ្នាំ]] [[ទៅមិញ]] <br>1). last year "
ស្រង់,"[srɑŋ] <br>1). v to pull / fish something out (of a liquid);<br> to save (a drowning person);<br> to extract (e.g. an article from a newspaper);<br> to rescue
ផ្ចុងផ្តើម,"[pcoŋ pdaəm] <br>1). v to patronize
ពិភពលោក,"[piʔpʰup look~lookaʔ] [[ពិភព]] [[លោក]] <br>1). the world "
គ្រឿងយន្ត,"[krɨəŋ yʊən] [[គ្រឿង]] [[យន្ត]] <br>1). mechanism
ទ្រាំង,"[treaŋ] <br>1). n latania palm (kind of thorny palm tree
សន្សំរឿង,"[sɑnsɑm rɨəŋ] [[សន្សំ]] [[រឿង]] <br>1). to cultivate spite / malicious thoughts;<br> to instigate "
ស្វាក្រិស,"[svaa kreh] [[ស្វា]] [[ក្រិស]] <br>1). common small gray monkey "
អាក្រក់ជួជាតិ,"[ʔaakrɑk cuə ciet] [[អាក្រក់]] [[ជួជាតិ]] <br>1). very mean "
ហ៊ីងចំបក់,"[hiiŋ cɑmbɑk] [[ហ៊ីង]] [[ចំបក់]] <br>1). kind of small toad "
សម្បុរ,"[sɑmbol
រកពុទ្ធោ,"[rɔɔk puttʰoo] [[រក]] [[ពុទ្ធោ]] <br>1). to use exclamations such as ពុទ្ឋោ​! Oh Buddha! "
កាំជ្រួចបាចទឹក,"[kamcruəc baac tɨk] [[កាំជ្រួច]] [[បាចទឹក]] <br>1). water pump "
ត្រណាក់អាក់ចិត្ត,"[trɑnak ʔak cət] [[ត្រណាក់]] [[អាក់ចិត្ត]] <br>1). See: ត្រណាក់ចិត្ត "
ផ្ញោញៗ,"[pɲaoɲ - pɲaoɲ] <br>1). adv describes the manner of chewing by someone who has no teeth "
នួននាង,"[nuun nieŋ] [[នួន]] [[នាង]] <br>1). maiden;<br> beloved "
ជើងឯកកាប់ចាក់,"[cəəŋ ʔaek kap cak] [[ជើងឯក]] [[កាប់]] [[ចាក់]] <br>1). infamous gangster "
តនុជ,"[taʔnoc] <br>1). n child "
សាបវាទ,"[saap viet] [[សាប]] [[វាទ]] <br>1). oath
ព័ស្តុភារ,"[poah pʰie] [[ព័ស្តុ]] [[ភារ]] <br>1). See: ភ័ស្តុភារ "
នឹកប៉ផ្អុក,"[nɨk pɑpʔok] [[នឹក]] [[ប៉ផ្អុក]] <br>1). to brood (about something) "
កាប់សំឡាប់,"[kap ------] [[កាប់]] [[សំឡាប់]] <br>1). to slash to death
ទស់ធ្នស់,"[tʊəh tnʊəh] [[ទស់]] [[ធ្នស់]] <br>1). to put up a barrier in order to catch fish See: ដាក់ធ្នស់
មនោគមវិជ្ជា,"[meaʔnoo kɔɔm vɨccie] [[មនោគម]] [[វិជ្ជា]] <br>1). ideology
ពេចន៍,"[pɨc] <br>1). n word(s)
ការខ្ចី,"[kaa kcəy] [[ការ]] [[ខ្ចី]] <br>1). loan "
ទិតៀន,"[tiʔtien] <br>1). v to criticize
ថ្នាំញីរ,"[tnam ɲii rɔɔ] [[ថ្នាំ]] [[ញី]] [[រ]] <br>1). liniment "
និយតកម្ម,"[------ kam~kammeaʔ or kammaʔ] [[និយត]] [[កម្ម]] <br>1). regularization
ជឿនលឿន,"[cɨən lɨǝn] [[ជឿន]] [[លឿន]] <br>1). to be (highly) developed
ពឺតតែ,"[pɨɨt tae] [[ពឺត]] [[តែ]] <br>1). to keep on
សេះបន្លាស់,"[seh bɑnlah] [[សេះ]] [[បន្លាស់]] <br>1). fresh horse "
គ្មានខ្មាស,"[kmien kmaah] [[គ្មាន]] [[ខ្មាស]] <br>1). to be thick-skinned
ខ្សែភាពយន្តគ,"[ksae pʰiepyʊən kɔɔ] [[ខ្សែភាពយន្ត]] [[គ]] <br>1). silent movie "
ប្រកបផល,"[prɑkɑɑp pʰɑl] [[ប្រកប]] [[ផល]] <br>1). to be fruitful
មាត់រអែករអោក,"[moat rɔʔaek-rɔʔaok] [[មាត់]] [[រអែករអោក]] <br>1). See: មាត់កោកៗ "
មាន់ទា,"[moan tie] [[មាន់]] [[ទា]] <br>1). poultry
យៅវរេស,"[yɨv vɔɔ ree sɑɑ] [[យៅ]] [[វ]] [[រេ]] [[ស]] <br>1). unmarried / virgin prince or princess "
វល្មីកិ,"<br>1). See: វាល្មីក "
ឧត្តមក្រុមប្រឹក្សានយោបាយ,"[ʔutdɑm krom~krommaʔ- prəksaa nɔyoobaay] [[ឧត្តមក្រុមប្រឹក្សា]] [[នយោបាយ]] <br>1). High Political Advisory Council "
អនាមិក,"[ʔaʔnaamɨk] <br>1). adj to be anonymous "
សជីព,"[saʔciip] <br>1). n royal servant;<br> royal official who is a confidant of the king "
វាឡគ្គាហី,"[vielakkiehii] <br>1). n hunter skilled in capturing wild animals
បរិស្ថាន,"[bɑɑreʔstʰaan] <br>1). n ecosystem
សហស្សន័យន៍,"[saʔhahsaʔ ------] [[សហស្ស]] [[Qន័យន៍]] <br>1). someone who is well-informed <br>2). the one with a thousand eyes (epithet of Indra) See: សហស្សនេត្ត
កំប្លុក,"[kɑmplok] <br>1). n kind of bird
ខ្នងប្រាក់កាក់,"[knɑɑŋ prak kak] [[ខ្នង]] [[ប្រាក់កាក់]] <br>1). reverse of a coin "
សុពល,"[soʔpʊəl] <br>1). adj to be physically fit
ផុតដៃ,"[pʰot day] [[ផុត]] [[ដៃ]] <br>1a). to be out of arm's reach. <br>1b). to have no support / assistance "
ឧទយលាភ,"[ʔuʔteaʔyeaʔ liep~liepʰeaʔ] [[ឧទយ]] [[លាភ]] <br>1). gain
កំសៀវ,"[kɑmsiev] <br>1). n teapot
ក្បែន,"[kbaen] <br>1). n decoration on the head of an elephant "
ឩនគត,"[ʔoon~ʔuun kɔɔ tɑɑ] [[ឩន]] [[គ]] [[ត]] <br>1). showing a deficit "
សំពត់សាច់ទន់ល្មឿយ,"[sɑmpʊət sac tʊən lmɨǝy] [[សំពត់]] [[សាច់]] [[ទន់]] [[ល្មឿយ]] <br>1). soft
បូជា,"[boocie] <br>1a). v to make an offering
ហត្ថរេខាវិទ្យា,"[hat reekʰaa ------] [[ហត្ថ]] [[រេខា]] [[វិទ្យា]] <br>1). chiromancy
ងឺៗ,"[ŋɨɨ - ŋɨɨ] <br>1). i sound of clearing the throat (as a warning) "
អរព្រួច,"[ʔɑɑ pruəc] [[អរ]] [[ព្រួច]] <br>1). to rejoice
តូចចិត្ត(តូចថ្លើម),"<br>1). to be dissatisfied
ភស្តុតាង,"[pʰoahtaaŋ] <br>1). n evidence
ជាន់ទីពីរ,"[coan tii pii~pɨl] [[ជាន់]] [[ទីពីរ]] <br>1). second floor "
ក្បែរ,"[kbae] <br>1). prenp near
ទ្រព្យា,"[troappyie] <br>1). n all kinds of property "
ស្លេះ,"[sleh] <br>1). v to suspend
មិនគ្រាន់,"[mɨn kroan] [[មិន]] [[គ្រាន់]] <br>1). not enough
ជាប់ចោទ,"[coap caot] [[ជាប់]] [[ចោទ]] <br>1). to be accused
ហាយនការណ៍,"[haay nɔɔ kaa] [[ហាយ]] [[ន]] [[ការណ៍]] <br>1). cause of a disaster "
អក្ខទស្សដ្ឋាន,"[ʔakkʰaʔtɔǝh ------] [[អក្ខទស្ស]] [[ដ្ឋាន]] <br>1). courtroom
ចំណុះ ... ម្ចាស់,"<br>1). to be under the power / domination of "
អាសនន្តរិក,"[ʔaasaʔnaʔ ------] [[អាសនៈ]] [[ន្តរិក]] <br>1). order of seating (according to rank) "
ចាក់សាប,"[cak saap] [[ចាក់]] [[សាប]] <br>1). to stab with a dagger;<br> to kill (by cutting or stabbing);<br> to fight with swords <br>2). to fence off (e.g. a garden) "
អនិច្ចានុបស្សនា,"[ʔaʔnɨccaʔ ------] [[អនិច្ច]] [[Uអនុបស្សនា]] <br>1). the understanding that the use of the five senses leads to uncertainty "
អក្សរក្បាច់,"[ʔaksɑɑ kbac] [[អក្សរ]] [[ក្បាច់]] <br>1). cursive script "
ស្នាតេះ,"[snaa ------ ] [[ស្នា]] [[តេះ]] <br>1). kind of miniature crossbow used by sorcerers "
សរីរយាត្រា,"[sɑɑ rii rɔɔ yietraa] [[ស]] [[រី]] [[រ]] [[យាត្រា]] <br>1). living
វាយោធាតុ,"[vieyoo tʰiet] [[វាយោ]] [[ធាតុ]] <br>1). atmospheric nature
បិតុគុណ,"[peʔtoʔkun] <br>1). n good deeds performed by (or appropriate to) a father "
គងពាក្យ(សំដី),"<br>1). to say something hurtful / unkind
ប្រពោធនកម្ម,"[prɑpoutʰeaʔneaʔkam] <br>1). n reanimation
ប្ដឹងរកខុសរកត្រូវ,"[pdəŋ rɔɔk kʰoh rɔɔk trəv] [[ប្ដឹង]] [[រកខុសរកត្រូវ]] <br>1). to sue "
ការរំជួលចិត្ត,"[kaa rumcuəl cət] [[ការ]] [[រំជួលចិត្ត]] <br>1). emotion
ស្វទេស,"[svaʔteeh] <br>1). n homeland
ជ្រុលក្បាលក្រពើ,"[crul kbaal krɑpəə] [[ជ្រុល]] [[ក្បាលក្រពើ]] <br>1). to be deeply involved in some activity "
មតិមន្ត,"[meaʔteʔ mʊən] [[មតិ]] [[មន្ត]] <br>1). intelligent person
ងាដៃ,"[ŋie day] [[ងា]] [[ដៃ]] <br>1). to threaten with one's arm / hand
ផ្សារភ្ជាប់,"[psaa pcoap] [[ផ្សារ]] [[ភ្ជាប់]] <br>1a). to solder
ច្រវា,"[crɑvaa] <br>1). n oar
ញាណារម្មណ៍,"[ɲienaarɑm] <br>1). n feeling
ភៀសខ្លួន,"[pʰiəh kluən] [[ភៀស]] [[ខ្លួន]] <br>1). to take refuge
បូកគោ,"[book koo] [[បូក]] [[គោ]] <br>1). Bokor (name of a mountain resort in Kampot Prov.) See: បូគគោ "
ស្នាចជ្រោង,"[snaac crooŋ] [[ស្នាច]] [[ជ្រោង]] <br>1). long-handled scoop for irrigation "
ជីដូនជីតា,"[cii doon cii taa] [[ជីដូន]] [[ជីតា]] <br>1). grandparents;<br> ancestors "
ស្រូវនាងរៀវ,"[srǝv nieŋ riəv] [[ស្រូវ]] [[នាង]] [[រៀវ]] <br>1). kind of late-maturing rice "
បាំងឆត្រ,"[baŋ cʰat] [[បាំង]] [[ឆត្រ]] <br>1). to cover oneself with an umbrella;<br> halo<br>#..). to use an umbrella "
កង (បាញ់​) គាំទ្រ,"<br>1). fire support unit "
ដេញពិណ,"[dəɲ pɨn] [[ដេញ]] [[ពិណ]] <br>1). to play the harp "
ចងក្បិន,"[cɑɑŋ kbən] [[ចង]] [[ក្បិន]] <br>1). style of wearing a sampot in which the ends are twisted<br>#..). to wear the sampot in the above way (usually reserved for ceremonial occasions) See: ស្លៀកចងក្បិន "
រជតៈ,"[reaʔceaʔtaʔ] <br>1). n silver "
សំបុត្រសំនួរ,"[sɑmbot sɑmnuə] [[សំបុត្រ]] [[សំនួរ]] <br>1). letter inquiring about someone's health "
ចតុព្ភាគី,"[caʔtoʔ ------ ] [[ចតុ]] [[ព្ភាគី]] <br>1). having four parts
សមប្បមាណ,"[saʔmappaʔmaan] <br>1). n symmetry "
សស្រ៊ុច,"<br>1). See: ស្រ៊ុច "
អញ្ចុះ,"[ʔɑɲcoh] <br>1). adv like that "
គណៈកម្មាធិការសេដ្ឋកិច្ចនិងសង្គមកិច្ចនៃ​អាស៊ីនិងប៉ាស៊ីហ្វិក,"<br>1). Economic and Social Commission for Asia and the Pacific (ESCAP) "
ស្ដារជង្រុក,"[sdaa cʊəŋruk] [[ស្ដារ]] [[ជង្រុក]] <br>1). to empty out a granary "
អមរាគារ,"[ʔaʔmaʔraakie] <br>1). n abode of the gods
អត់មិនបាន,"[ʔɑt mɨn baa nɔɔ] [[អត់]] [[មិនបាន]] <br>1). to be unable to resist "
រូបធាតុ,"[ruup tʰiet] [[រូប]] [[ធាតុ]] <br>1). substance
ស្រោមភ្នែក,"[sraom ------] [[ស្រោម]] [[ភ្នែក]] <br>1). sclera (of the eye) "
លទ្ធច្ច័យទាន,"[lattʰeaʔ ------ ] [[លទ្ធ]] [[ច្ច័យទាន]] <br>1). legacy
ឡើង(ទៅលើ)គោក,"<br>1). to go up on dry ground "
សោមនស្សវេទនា,"[saomaʔnoah veeteaʔnie] [[សោមនស្ស]] [[វេទនា]] <br>1). satisfaction
សៀវភៅប្រជុំវិជ្ជា,"[siǝv pʰɨv prɑcum vɨccie] [[សៀវភៅ]] [[ប្រជុំ]] [[វិជ្ជា]] <br>1). encyclopedia "
ចៅអធិការរង,"[cav ʔaʔtʰiʔkaa rɔɔŋ] [[ចៅអធិការ]] [[រង]] <br>1). first assistant to the superior of a Buddhist temple "
ផាសុក,"[pʰaasok] <br>1a). n health;<br> happiness
ការត្រួតផ្ទាល់,"[kaa truət ptoal] [[ការ]] [[ត្រួត]] [[ផ្ទាល់]] <br>1). direct control
បង្កៃមីន,"[bɑŋkay miin] [[បង្កៃ]] [[មីន]] <br>1). to set a booby tray "
ឆកសមុទ្រ,"[cʰɑɑk saʔmot~saʔmottreaʔ-] [[ឆក]] [[សមុទ្រ]] <br>1). bay
យកមិនអស់,"[yɔɔ kɑɑ mɨn ʔɑh] [[យក]] [[មិន]] [[អស់]] <br>1). plenty
ព្រាងច្បាប់,"[prieŋ cbap] [[ព្រាង]] [[ច្បាប់]] <br>1). to draft a law "
ព្រះស្រី,"[preah srǝy] [[ព្រះ]] [[ស្រី]] <br>1). areca "
បេឡាធិការ,"[peɛlaa ------ ] [[បេឡា]] [[ធិការ]] <br>1). See: បេឡាធិការី "
ផ្លូវត្រឡែងកែង,"[pləv trɑlaeŋ kaeŋ] [[ផ្លូវ]] [[ត្រឡែងកែង]] <br>1). crossroads<br>#..). intersection <br>#..). intersection of two streets
ម្រឹត្យុ,"[mrɨt] <br>1). n death;<br> the god of death See: ម្រឹត្យូវ "
សស្រ៊ុប,"<br>1). See: ស្រ៊ុប "
កាញ់គ្នេរ,"[kaɲ knee] [[កាញ់]] [[គ្នេរ]] <br>1). to reflect on (something) seriously
ពិកា,"[piʔkaa] <br>1). n kind of small plant (Tephrosia repentina;<br> the fruit are used in certain children's games) <br>2). n kind of tree (Oroxylum indicum;<br> the immature fruit is eaten and the seeds are used in stews) See: ពេកា "
កិតៗ,"[kət - kət] <br>1). adj to be close to
ដំណល់,"[dɑmnɑl] <br>1). n arrival "
ពេកពន់,"[peek pʊən] [[ពេក]] [[ពន់]] <br>1). a great deal
កន្តោះកន្តើយ,"[------ kɑntaəy ] [[កន្តោះ]] [[កន្តើយ]] <br>1). to be unfriendly
បវរកញ្ញា,"[bɑɑvɑɑ kaɲɲaa] [[បវរ]] [[កញ្ញា]] <br>1). beauty queen
សទិសភាព,"[saʔtisaʔ~saʔtɨh pʰiep] [[សទិស]] [[ភាព]] <br>1). homology
ចុះចំណោម,"[coh cɑmnaom] [[ចុះ]] [[ចំណោម]] <br>1). to be acceptable (by the family or group;<br> e.g. one's style of dress
បដិវេគ,"[paʔdeʔveik] <br>1). n revulsion
ភ្លើងរាគ,"[pləəŋ riek] [[ភ្លើង]] [[រាគ]] <br>1). heat of passion;<br> great anguish "
កុំស្អីបន្តិច,"[kom sʔǝy bɑntəc] [[កុំ]] [[ស្អី]] [[បន្តិច]] <br>1). every little thing
សិង្ឃាដ,"[səŋkʰiet] <br>1). n pinches of boiled rice placed on a banana leaf serving as a cover for a small pot of medicine See: បាយសិង្ឃាដ
រាជសម្ភារ,"[riec sɑmpʰie] [[រាជ]] [[សម្ភារ]] <br>1). royal sponsorship <br>2). royal power <br>3). epithet of King Ponhea To (1629;<br> famous for his poems) "
អាត់ការូ,"[ʔat kaa ruu] [[អាត់]] [[កា]] [[រូ]] <br>1). ace of diamonds "
គាស់,"[koah] <br>1). v to dig / pry up
បិសាច,"[bəysaac] <br>1). n kind of evil spirit (some are believed to suck blood
គ្រាំងៗ,"[kreaŋ - kreaŋ] <br>1). i loud sounds such as a heavy object falling
អតិវិសាល,"[ʔaʔteʔ viʔsaal] [[អតិ]] [[វិសាល]] <br>1). to be spacious
ចុះសំរុងគ្នា,"[coh sɑmroŋ knie] [[ចុះសំរុង]] [[គ្នា]] <br>1). well coordinated
ច្របុច,"[crɑboc] <br>1). v to tie a knot;<br> to gather (e.g. cloth) into a small knot;<br> to mold small conical cakes;<br> to make small conical decorations on cakes <br>2). n knot <br>3). n scarf with a blotchy pattern "
វិនាសកម្ម,"[viʔnieh kam~kammeaʔ or kammaʔ] [[វិនាស]] [[កម្ម]] <br>1). destruction
ធ្វើការឥតអំបិល,"[tvəə kaa ʔet~ʔǝt ʔɑmbǝl] [[ធ្វើការ]] [[ឥត]] [[អំបិល]] <br>1). to work in vain "
