(Mekong) giant catfish 	 ປາບຶກ
dustbin	(n) 	 ຖັງຂີ້ເຫຍື້ອ
duty	(n) 	 ໜ້າທີ່
dye	(v) 	 ຍ້ອມສີ
dyke	(n) 	 ຄັນນາ
dysentery	(n) 	 ໂລກທ້ອງບິດ
early	(adv) 	 ເບື້ອງຕົ້ນ, ແຕ່ເຊົ້າມືດ, ແຕ່ເດິກ
earn	(v) 	 ຫາໄດ້, ຫາລ້ຽງຊີບ, ຫາເງິນ
earth	(n) 	 ດິນ, ໂລກ, ໜ່ວຍໂລກ
earthworm	(n) 	 ຂີ້ກະເດືອນ
east	(n) 	 ທິດຕາເວັນອອກ
eco-tourism	(n) 	 ການທ່ອງທ່ຽວທໍາມະຊາດ
ecological balance	(n) 	 ຄວາມສົມດູນທາງດ້ານນິເວດວິທະຍາ
ecologist	(person) 	 ນັກນິເວດວິທະຍາ
ecology	(n) 	 ນິເວດວິທະຍາ
economic incentive	(n) 	 ສິ່ງຈູງໃຈທາງດ້ານເສດຖະກິດ
economic threshold	(n) 	 ເກນການທໍາລາຍທາງດ້ານເສດຖະກິດ
economical	(adj) 	 ປະຢັດ
ecosystem 	 ລະບົບນິເວດ
ecosystem	(n) 	 ລະບົບນິເວດ
edge	(n) 	 ຂອບ, ຮີມ
education	(n) 	 ການສຶກສາ
eel 	 ງ່ຽນ
eel	(n) 	 ອ່ຽນ
efficient	(adj) 	 ມີປະສິດຕິພາບ
egg 	 ໄຂ່
egg	(n) 	 ໄຂ່
egg banana 	 ກ້ວຍໄຂ່
egg dealer 	 ຜູ້ຄ້າໄຂ່
egg grader 	 ເຄື່ອງຄັດໄຂ່
egg plant 	 ໝາກເຂືອ
egg size 	 ຂະໜາດຂອງໄຂ່
electric pump	(n) 	 ເຄື່ອງສູບນໍ້າໄຟຟ້າ, ປໍ້ານໍ້າໃຊ້ໄຟຟ້າ
electricity	(n) 	 ໄຟຟ້າ
elephant	(n) 	 ຊ້າງ
eliminate	(v) 	 ກໍາຈັດ
emasculator	(n) 	 ເຄື່ອງຕອນຫໍາສັດ
embroider	(v) 	 ແສ່ວ, ຖັກແສ່ວ
embryo	(n) 	 ຈາວ, ໜໍ່, ລູກໃນທ້ອງ, ຕົ້ນອ່ອນໃນເມັດ
emergency	(n) 	 ສຸກເສີນ
employ	(v) 	 ຈ້າງ
employee	(n) 	 ລູກຈ້າງ
employer	(n) 	 ນາຍຈ້້າງ, ຜູ້ຈ້າງ
empty	(adj) 	 ຫວ່າງເປົ່າ
enclosure	(n) 	 ສະຖານທີ່ຊື່ງຢູ່ພາຍໃນວົງຮົ້ວ
encourage	(v) 	 ໃຫ້ກໍາລັງໃຈ, ສະໜັບສະໜູນ
encroachment	(n) 	 ການບຸກລຸກປ່າ
endangered species	(n) 	 ສັດ ແລະ ພືດໃກ້ຈະສູນພັນ (ຊະນິດ)
endermic	(n) 	 ພະຍາດຊໍ້າເຮື້ອປະຈໍາທ້ອງຖິ່ນ, ໄຂ້ຊໍ້າເຮື້ອ
enemies 	 ສັດຕູເຜີ້ງ
energy	(n) 	 ພະລັງງານ, ກໍາລັງ
engineering	(n) 	 ວິສະວະກໍາ
enhancement	(n) 	 ການປັບປຸງ, ການເສີມຂະຫຍາຍ
enlarge	(v) 	 ຂະຫຍາຍ, ເຮັດໃຫ້ໃຫຍ່ອອກ
enrichment planting	(n) 	 ການປູກປ່າເສີມ
entitlement	(n) 	 ສິດທິ
entrails	(n) 	 ເຄື່ອງໃນ, ອະໄວຍະວະພາຍໃນຂອງສັດ
environment	(n) 	 ສິ່ງແວດລ້ອມ
environmental	(adj) 	 ສິ່ງແວດລ້ອມ
environmental impact assessment 	 ການປະເມີນຜົນກະທົບທາງດ້ານສະພາບ
environmentalist	(person) 	 ນັກສິ່ງແວດລ້ອມ
epidemic	(n) 	 ໂລກລະບາດ, ໂລກຕິດຕໍ່
erosion	(n) 	 ການເຊາະເຈື່ອນຂອງດິນ
erratic	(adj) 	 ບໍ່ແນ່ນອນ
escarpment	(n) 	 ບ່ອນກວ້າງສູງຊັນ
establish	(v) 	 ຕັ້ງ, ສ້າງຕັ້ງ
estimate	(v) 	 ປະມານ, ກະຕວງ
eucalyptus camaldulensis 	 ຕົ້ນວິກ
evapo-tranpiration	(n) 	 ການລະເຫີຍອາຍ ແລະ ການລະເຫີຍຜ່ານ
evaporate	(v) 	 ລະເຫີຍອາຍ
exact	(adj) 	 ແນ່ນອນ, ຕົວຈິງ
example	(n) 	 ຕົວຢ່າງ
example, sample 	 ຕົວຢ່າງ
exception	(n) 	 ຂໍ້ຍົກເວັ້ນ
exchange rate	(n) 	 ອັດຕາແລກປ່ຽນ
excrement	(n) 	 ຝຸ່ນ, ອາຈົມ
exhausted	(adj) 	 ໝົດແຮງ, ໝົດ
exotic species	(n) 	 ພັນຕ່າງຖິ່ນ, ພັນຕ່າງດ້າວ
expand	(v) 	 ຂະຫຍາຍ, ກະຈາຍ
experience	(n) 	 ປະສົບການ, ສໍານາມ, ເຄີຍຜ່ານວຽກ
experiment	(n) 	 ການທົດລອງ, ທົດລອງ
experimental station 	 ສະຖານີທົດລອງ
expert	(n) 	 ຜູ້ຊ່ຽວຊານ
explain	(v) 	 ອະທິບາຍ
explain in detail 	 ອະທິບາຍໂດຍລະອຽດ
explode	(v) 	 ລະເບີດ, ແຕກຂື້ນ
explore	(v) 	 ສໍາຫຼວດ, ຄົ້ນຫາ
export	(n) 	 ການສົ່ງອອກ
expose	(v) 	 ເປີດເຜີຍ, ຕາກແດດ, ແບອອກ
extend something 	 ສົ່ງເສີມ
extension	(n) 	 ສົ່ງເສີມ, ຂະຫຍາຍ
extension worker 	 ພະນັກງານສົ່ງເສີມ
extensionists	(n) 	 ນັກສົ່ງເສີມ
extensive land use	(n) 	 ການນໍາໃຊ້ທີ່ດິນແບບຂະຫຍາຍກວ້າງ
extinct	(adj) 	 ສູນພັນ
extract	(v) 	 ຕັດທອນ, ສະກັດອອກ
eyebrow	(n) 	 ຄີ້ວ
eyelash	(n) 	 ຂົນຕາ
eyelid	(n) 	 ເປືອກຕາ, ໜັງຕາ
fail	(v) 	 ບໍ່ໄດ້ຮັບຜົນ, ຫຼົ້ມເຫຼວ
failure	(n) 	 ການບໍ່ໄດ້ຮັບຜົນ
fallow	(adj) 	 ປະດິນເປົ່າຫວ່າງ, ປ່າເລົ່າ
false smut 	 ພະຍາດດອກກະຖິນ
family	(n) 	 ຕະກຸນ
famine	(n) 	 ຄວາມອຶດຢາກ, ຄວາມຂາດແຄນ
fan	(n) 	 ພັດລົມ
fare	(n) 	 ຄ່າໂດຍສານ
farm	(n) 	 ໄຮ່, ນາ
farm crops	(n) 	 ພືດໄຮ່
farm enterprise	(n) 	 ວິສະຫະກິດຜະລິດກະສິກໍາ
farm processing	(n) 	 ການປຸງແຕ່ງຜົນຜະລິດຢູ່ກັບພື້ນທີ່
farm-based agroforestry	(n) 	 ລະບົບການກະສິກາໍ ແລະ ປ່າໄມ້ໃນຮູບແບບຟາມ
farmer	(n) 	 ຊາວກະສິກອນ
farmers group 	 ກຸ່ມຊາວກະສິກອນ
farmers’ group 	 ກຸ່ມຊາວກະສິກອນ
farrow	(n) 	 ຄອກເກີດໝູ, ຄອກໝູນ້ອຍ
favorable	(adj) 	 ເໝາະສົມ, ແທດເໝາະ
feather	(n) 	 ຂົນສັດປີກ, ຂົນປັດໄກ່
fee	(n) 	 ຄ່າທໍານຽມ
feed 	 ອາຫານສັດ
feed	(n) 	 ອາຫານສັດ
feed	(v) 	 ໃຫ້ອາຫານສັດ, ເກືອສັດ
feed grinding machine 	 ເຄື່ອງບົດອາຫານ
feed mixing machine 	 ເຄື່ອງປະສົມອາຫານ
feeding	(n) 	 ການໃຫ້ອາຫານ
felling 	 ການຕັດປ່າ, ຖາງປ່າເນື້ອທີ່ຂຸດຄົ້ນ
female 	 ໂຕແມ່
female	(adj) 	 ໂຕແມ່ (ສັດ)
female breeding stock 	 ແມ່ພັນ 
fence	(n) 	 ຮົ້ວ
fermented fish	(n) 	 ປາແດກ
ferocious	(used of animals) 	 ຮ້າຍ, ໂຫດຮ້າຍ (ສັດຮ້າຍ)
ferry	(n) 	 ເຮືອບັກ
fertile	(adj) 	 ອຸດົມສົມບູນ, ຝຸ່ນຫຼາຍ
fertile soil	(laymen’s term) 	 ດິນດີ, ດິນຜຸຜຸ່ຍ
fertilitv	(n) 	 ຄວາມອຸດົມສົມບູນ
fertilization	(n) 	 ການປະສົມພັນ (ພືດ ຫຼື ສັດ)
fertilize	(v) 	 ເຮັດໃຫ້ອຸດົມສົມບູນ, ປະສົມພັນ
fertilized egg	(n) 	 ໄຂ່ທີ່ປະສົມພັນແລ້ວ
fertilizer	(n) 	 ປຸ໋ຍ
fertilizer application 	 ການໃສ່ປຸ໋ຍ
fester	(v) 	 ເປັນໜອງ, ເນົ່າ
fetch	(v) 	 ໄປເອົາມາ
fever	(n) 	 ໄຂ້
fibre	(n) 	 ໃຍ, ກາກ
fibre crop	(n) 	 ພືດເສັ້ນໃຍ
fibrous roots	(n) 	 ຮາກຝອຍ
fibrous roots	(n) 	 ຮາກຝອຍ
field	(n) 	 ທົ່ງນາ
field crop 	 ພືດໄຮ່
field crop	(n) 	 ພືດໄຮ່
field crop farmer 	 ຊາວໄຮ່ 
field guard	(n) 	 ຄົນເຝົ້ານາ, ຄົນເຝົ້າໄຮ່
field mouse	(n) 	 ໜູນາ
field trip	(n) 	 ອອກພື້ນທີ່, ລົງຢ້ຽມຢາມພາກສະໜາມ
fig tree 	 ໝາກເດື່ອ
fill	(v) 	 ບັນຈຸ, ເຮັດໃຫ້ເຕັມ
fin 	 ຄີ, ຄີປາ
fin(n) 	 ຄີປາ
finance 	 ການເງີນ
finger nails	(n) 	 ເລັບມື
fingering 	 ປານ້ອຍທີ່ມີອາຍຸພໍປ່ອຍໄດ້
fingers	(n) 	 ນີ້ວມື
finish	(v) 	 ຈົບ, ສໍາເລັດ, ແລ້ວ
fire wood, fuel-wood 	 ຟືນ, ໄມ້ຟືນ
fire-break 	 ໄຟກະຈັດກະຈາຍ
firewood	(n) 	 ຟືນ
first grade officer	(n) 	 ຂ້າລັດຖະການຊັ້ນເອກ
fish	(see special section for species) 	 ປາ (ລາຍລະອຽດໃຫ້ເບີງ່ ໃນພາກຊະນິດຂອງປາ)
fish	(v) 	 ຕຶກປາ, ຫາປາ
fish ball or meat ball 	 ລູກຊີ້ນ	(ປາ, ຊີ້ນ) 
fish basket 	 ຂ້ອງ
fish bone	(n) 	 ກ້າງປາ
fish hook 	 ເບັດ
fish meal	(n) 	 ປາປົ່ນໃຊ້ເປັນປຸ໋ຍ ຫຼື ອາຫານສັດ
fish net	(n) 	 ສະຫວິງ, ມອງ, ແຫ
fish pond 	 ສະລ້ຽງປາ
fish scale	(n) 	 ເກັດປາ
fish with a hook and line 	 ຕຶກປາ, ຫາປາ
flame	(n) 	 ແປວໄຟ
flank	(side of animal from ribs to thigh) 	 ກ້າມເນື້ອລະຫວ່າງໂຄງກະດູກຫາກົກຂາ
flat	(not hilly) (adj) 	 ຮາບພຽງ
flat land 	 ດິນພຽງ, ພື້ນທີ່ຮາບພຽງ
flexible	(adj) 	 ປ່ຽນແປງໄດ້
flies 	 ແມງວັນ
flood	(v) 	 ນໍ້າຖ້ວມ
flood gate	(n) 	 ປະຕູນໍ້າ
floor	(n) 	 ພື້ນ
flour	(n) 	 ແປ້ງ
flourish	(n) 	 ເຕີບໂຕໄວ
flower, blossom	(n) 	 ດອກ, ດອກໄມ້
flower, flowering	(n) 	 ດອກ, ການອອກດອກ
flowerpot	(n) 	 ໂຖດອກໄມ້
fluctuate	(v) 	 ຂື້ນໆລົງໆ
focus	(v) 	 ເລັ່ງໃສ່, ສູມໃສ່
fodder	(n) 	 ຫຍ້າແຫ້ງ, ອາຫານສັດປະເພດຫຍ້າແຫ້ງ
foot 	 ຕີນ
foot	(n) 	 ຕີນ
foot and mouth disease 	 ພະຍາດປາກເປືອຍລົງເລັບ
foot and mouth disease 	 ໂລກຕີນ ແລະ ປາກເປື່ອຍ
foot rot 	 ພະຍາດເຫງົ້າເນົ່າ
foot rot 	 ໂລກກີບເນົ່າ
forage	(n) 	 ພືດພັນນາໆຊະນິດ
forage	(n) 	 ພືດອາຫານສັດ
forage crop 	 ພືດອາຫານສັດ
force	(n) 	 ບັງຄັບ
forced self-settlement	(n) 	 ການຍົກຍ້າຍຖິ່ນຖານແບບບັງຄັບ
fore rib 	 ຊາຍໂຄງໜ້າ
fore udder 	 ເຕົ້ານົມໜ້າ
fore-blank 	 ຊອກຂາໜ້າ
forehead 	 ໜ້າຜາກ
foreign breed 	 ພັນຕ່າງປະເທດ
foreign breed	(n) 	 ພັນຕ່າງປະເທດ
foreleg 	 ຂາໜ້າ
forest	(n) 	 ປ່າໄມ້
forest managemnt & protection 	 ການຈັດການ ແລະ ການປ້ອງກັນປ່າໄມ້
forest products 	 ຊັບພະຍາກອນປ່າໄມ້
forest-based agroforestry	(n) 	 ໄຮ່ນາປ່າປະສົມ
forget	(v) 	 ລືມ
fork 	 ຄາດ, ສາມງ່າມໃຊ້ສໍາລັບຊ້ວນ
formula	(n) 	 ສັດ
foundation	(n) 	 ມູນນິທິ, ຈັດຕັ້ງສະຖາບັນ
foundation seed	(n) 	 ເມັດພັນພື້ນຖານ
four-furrow plough	(n) 	 ໄຖແບບສີ່ແຜ່ນ
fowl cholera 	 ໂລກອະຫິວາໄກ່
frame 	 ເຮືອນເຜີ້ງເຄື່ອນທີ່
fresh	(ot be) (adj) 	 ສົດ
fresh watter 	 ນໍ້າຈືດ
fresh watter fish 	 ປານໍ້າຈືດ
fresh watter prawn 	 ກຸ້ງກ້າມກາມ
friend	(n) 	 ເພື່ອນ, ໝູ່ເພື່ອນ
friendly	(adj) 	 ເປັນກັນເອງ
frog	(n) 	 ກົບ, ຂຽດ, ອື່ງອ່າງ
fruit 	 ໝາກໄມ້
fruit	(classifier) 	 ໜ່ວຍ, ໝາກ
fruit	(n) 	 ຜົນ, ໝາກ
fruit	(n) 	 ໝາກໄມ້
fruit farmer	(n) 	 ຊາວສວນໝາກໄມ້
fruit fly 	 ແມງວັນເຫຼືອງ
fruit orchard 	 ສວນໝາກໄມ້, ສວນໄມ້ໃຫ້ໝາກ
fruit picker 	 ໄມ້ສ້າງເກາະໝາກໄມ້
fruit tree 	 ຕົ້ນໝາກໄມ້, ຕົ້ນໄມ້ໃຫ້ໝາກ
fry 	 ປານ້ອຍເກີດໃໝ່
fuel 	 ເຊື້ອເພີງ
full	(adj) 	 ເຕັມ
fumes	(n) 	 ອາຍເສຍ, ຄວັນ
fumigate	(v) 	 ສີດຢາຂ້າແມງໄມ້
fun	(n) 	 ຄວາມມ່ວນຊື່ນ
fundamental	(adj) 	 ພື້ນຖານ
fungal disease 	 ເຊື້ອໂລກ, ເຊື້ອລາ
fungicide	(n) 	 ຢາກໍາຈັດເຊື້ອລາ
fungus	(n) 	 ເຊື້ອລາ
funnel 	 ຈວຍ	(ໃຊ້ຮ່າຍນໍ້າ, ເຫຼົ້າ, ຫຼື ທາດແຫຼວຕ່າງໆ
funny	(adj) 	 ຕະຫຼົກ
fur	(n) 	 ຂົນສັດ
furniture 	 ເຄື່ອງຕົບແຕ່ງເຮືອນ
furrow	(n) 	 ຮ່ອງໃນໜານຜັກ
fuse	(n) 	 ຟີວໄຟຟ້າ (ເສັ້ນຟີວ)
future	(n) 	 ໃນພາຍໜ້າ, ອະນາຄົດ
galingale, galangal, wild ginger 	 ຂ່າ
gall dwarf 	 ພະຍາດກູດ
gall midge 	 ບົ່ວ
gallery forest	(n) 	 ປ່າລຽບແຄມນໍ້າ
gandaria 	 ໝາກຜາງ
garden	(n) 	 ສວນ
gardener	(n) 	 ຄົນເຮັດສວນ
garland	(n) 	 ພວງມາລາ
garlic 	 ຜັກທຽມ, ຫອມທຽມ
gate	(n) 	 ປະຕູໄຊ
gather	(v) 	 ໂຮມເຂົ້າກັນ, ເກັບຮວມກັນ
gather or collect	(v.) 	 ເກັບນໍ້າຫວານຈາກເກສອນດອກໄມ້
generate	(v) 	 ຜະລິດ, ເຮັດໃຫ້ເກີດມີຂື້ນ, ເຮັດໃຫ້ກໍາເນີດ
generator	(n) 	 ເຄື່ອງກໍາເນີດໄຟຟ້າ
generous	(adj) 	 ເມດຕາ, ໃຈກວ້າງຂວາງ
genetic material	(n) 	 ອຸປະກອນເຊື້ອພັນ
gentian violet	(n) 	 ນໍ້າຢາສີມ່ວງແກ່ໃຊ້ສໍາລັບຂ້າເຊື້ອໂລກ
genus	(n) 	 ຊະນິດ, ແນວພັນພືດ ຫຼື ແນວພັນສັດ
germ cell	(n) 	 ແຊ່ນສືບພັນ
germinate	(v) 	 ງອກ, ແຕກຈາວ
germinate	(v.), emerge (v.) 	 ງອກ, ອອກ
gestation	(n) 	 ໄລຍະຕັ້ງທ້ອງ, ຖືພາ
gestation	(period) 	 ໄລຍະຖືພາ
giant water bug 	 ແມງດາ
gill 	 ເຫງືອກ, ຟັນຟືມ
ginger 	 ຂີງ
girl	(n) 	 ເດັກຍີງ
girl’ school	(n) 	 ໂຮງຮຽນແມ່ຍີງ
give birth	(v.) 	 ເກີດລູກ, ອອກລູກ
gland	(n) 	 ຕ່ອມ ຫຼື ປອກທີ່ໃຊ້ອັດເຄື່ອງຈັກ
glanders 	 ໂລກໜອງຂໍ້	(ໃນສັດ)
glass	(n) 	 ຈອກແກ້ວ
gliricidia senium dulec 	 ກົກແຄຝຣັ່ງ
gloves 	 ຖົງມື
glutinous	(sticky) rice 	 ເຂົ້າໜຽວ
glutinous rice	(n) 	 ເຂົ້າໜຽວ
gnat 	 ແມງມີ່
goat 	 ແບ້
goat	(n) 	 ແບ້
godown	(warehouse) (n) 	 ສາງເຄື່ອງ
gold	(n) 	 ຄໍາ
good seed	(n) 	 ເມັດພັນດີ
goose 	 ຫ່ານ
gourd 	 ໝາກໂຕ່ນ
govern	(v) 	 ປົກຄອງ
government	(n) 	 ລັດຖະບານ
government official 	 ຂ້າລັດຖະການ, ລັດຖະກອນ
governor’s plum 	 ໝາກຕາກົບ
grafted tree 	 ກິ່ງຕອນ
grafting 	 ການສຽບຍອດ
grafting	(n) 	 ການທາບກິ່ງ
grain	(n) 	 ເມັດພືດ, ທັນຍະພືດ
grain drill	(n) 	 ເຄື່ອງຢອດເມັດ, ເຄື່ອງຢອດແກ່ນ
grain storage hut 	 ເລົ້າເຂົ້າ, ຖ່ອມເຂົ້າ, ປອກເຂົ້າ
grain weevil, rice weevil 	 ມອດ, ໂຕມອດ
grape 	 ໝາກອາງຸ່ນ, ໝາກລະເຊັງ
grass 	 ຫຍ້າ
grass	(n) 	 ຫຍ້າ
grass carp 	 ປາກີນຫຍ້າ
grasshopper 	 ຕັກແຕນ
grasshopper	(n) 	 ຕັກແຕນ
grassy stunt 	 ພະຍາດຂຽວເຕ້ຍ
gravel	(n) 	 ຫີນແຫ່, ຫີນຫາດ
graze	(v), grazing 	 ກິນຫຍ້າ, ການປ່ອຍສັດກິນຫຍ້າ
grease	(v, n) 	 ທານໍ້າມັນ, ນໍ້າມັນສັດ, ນໍ້າມັນຂີ້ເຜີ້ງ
green	(adj) 	 ສີຂຽວ
green house	(n) 	 ເຮືອນແກ້ວ
green kuang futsoi 	 ຜັກກາດຂາວ
green leafhopper 	 ເພ້ຍຈັກຈັ່ນສີຂຽວ
green manure	(n) 	 ຝຸ່ນຂຽວ, ຝຸ່ນທໍາມະຊາດ
green onion 	 ຕົ້ນຫອມບົ່ວ
green semilooper 	 ບົ້ງເຂົາຂືບ
greenhorned aterpillar 	 ບົ້ງເຂົາສີຂຽວ
grid	(n) 	 ຕາໜ່າງເຫຼັກ
grinding machine	(n) 	 ເຄື່ອງບົດ
ground	(n) 	 ດິນ, ພື້ນດິນ
ground lizard	(n) 	 ແຍ້
ground water	(n) 	 ນໍ້າໃຕ້ດິນ
group 	 ກຸ່ມ
group	(n) 	 ກຸ່ມ, ພວກ, ໝູ່
grow	(formal) (v) 	 ຈະເລີນເຕີບໂຕ
grow	(informal) (v) 	 ໃຫຍ່, ເຕີບໃຫຍ່
grow	(v.) 	 ຂະຫຍາຍຂື້ນ
grow up	(v) 	 ໃຫຍ່, ເຕີບໂຕ 
growing	(n) 	 ການເຕີບໂຕ
growth	(n) 	 ການຈະເລີນເຕີບໂຕ
growth rate	(n) 	 ອັດຕາການເຕີບໂຕ
guarantee	(n, v) 	 ຮັບປະກັນ
guard	(v,n) 	 ປ້ອງກັນ, ເຝົ້າຍາມ
guard rail 	 ຮົ້ວກັ້ນ
guava 	 ໝາກສີດາ
gulf	(n) 	 ອ່າວ
gullet	(n) 	 ຫຼອດອາຫານ
gully	(n) 	 ທາງນໍ້າໄຫຼ
gum	(n) 	 ຕົ້ນໄມ້ໃຫ້ຢາງ, ຢາງໄມ້
gutter	(n) 	 ຮາງລິນ
habit	(n) 	 ນິໄສ
hack	(n) 	 ບັກ, ຟັນ, ສັບ
hair	(for animal) 	 ຂົນ
half	(adj) 	 ເຄິ່ງ, ເຄິ່ງໜຶ່ງ
halter	(n) 	 ເຊືອກຈູງມ້າ
halve	(v) 	 ແບ່ງ, ແບ່ງເຄິ່ງ
ham 	 ກົກຂາຫຼັງ	(ໝູ)
hammer 	 ຄ້ອນຕີ
hand drill 	 ສະຫວ່ານມື
handicraft	(n) 	 ຫັດຖະກໍາ
handling	(n) 	 ຮັກສາດູແລ
hard wood	(n) 	 ໄມ້ເນື້ອແຂງ
hardy	(adj) 	 ທົນທານ
harmless	(adj) 	 ບໍ່ເປັນອັນຕະລາຍ
harrowing	(n) 	 ການຄາດ
harvest	(v,n) 	 ເກັບກ່ຽວ, ການເກັບກ່ຽວ
harvest rice	(v) 	 ກ່ຽວເຂົ້າ
hatch	(v) 	 ຟັກໄຂ່
hav	(n) 	 ຫຍ້າແຫ້ງ
hazard	(n) 	 ຄວາມອັນຕະລາຍ
headman	(head of village) 	 ນາຍບ້ານ
headmaster	(n) 	 ອາຈານໃຫຍ່, ຄູໃຫຍ່
heal	(v) 	 ປົວ, ບໍາບັດ, ຮັກສາ
healthy	(adj) 	 ງາມ, ແຂງແຮງ
heap	(v,n) 	 ກອງກັນຂື້ນ, ກອງ, ເປັນກອງ
heart	(n) 	 ຫົວໃຈ, ໃຈ
heat	(n) 	 ຄວາມຮ້ອນ
heavy	(adj) 	 ໜັກ
hectare	(n) 	 ເຮັກຕາ
hedge	(n) 	 ຮົ້ວຕົ້ນໄມ້ຕໍ່າໆ
heel	(n) 	 ສົ້ນຕີນ, ສົ້ນໜ່ອງ
heifer 	 ງົວໜຸ່ມສາວ
help	(v) 	 ຊ່ວຍ
hemp	(n) 	 ປໍ, ປ່ານ
hen	(n) 	 ໄກ່ແມ່
herbaceous	(n) 	 ໄມ້ເນື້ອອ່ນ
herbicide 	 ຢາກໍາຈັດຫຍ້າ
herbicide	(n) 	 ຢາຂ້າຫຍ້າ
herbivore	(n) 	 ສັດກິນຫຍ້າ (ກິນໃບໄມ້)
herd	(n) 	 ຝຸງສັດ
hide	(n) 	 ໜັງສັດ
high	(adj) 	 ສູງ
highland	(n) 	 ບ່ອນສູງ
hill 	 ສູມ	(ເຂົ້າ, ໄມ້)
hind blank 	 ຊອກຂາຫຼັງ
hind leg 	 ຂາຫຼັງ
hip 	 ກະໂພກ
hip	(n) 	 ກະໂພກ
hire	(v) 	 ຈ້າງ, ເໝົາ
hispa 	 ແມງດໍາໜາມ
hit	(v) 	 ຕີ, ຕ່ອຍ
hive 	 ຮັງເຜີ້ງ
hive	(n), hive-bee (honey bee) 	 ຮັງເຜີ້ງ, ຮວງເຜີ້ງ
hoe 	 ຈົກ
hoe	(n) 	 ຈົກ (ໃຊ້ສໍາລັບຂຸດດິນ)
hoeing	(n) 	 ການຂຸດດິນ, ການພວນດິນ
hog plum 	 ໝາກກອກ
hoja blanca 	 ພະຍາດໃບຂຽວ
hold	(v) 	 ຈັບ, ຖື
holding net 	 ກະຊັງ, ກະຊັງຂັງປາ
hole	(n) 	 ຂຸມ, ຫຼຸມ, ຮູ
hole mout	(n) 	 ປາກຂຸມ, ປາກຫຼຸມ
hollow	(n) 	 ໂກນ, ກະບັ້ງ
hollow tree trunk 	 ເຜີ້ງໂກນໄມ້
holy basil 	 ອີ່ຕູ່
home garden	(n) 	 ສວນຄົວ
honey 	 ນໍ້າເຜີ້ງ
honey cell 	 ຊ່ອງນໍ້າເຜີ້ງ
honey dew melon 	 ໝາກແຕງລາຍ, ໝາກແຕງໃຫຍ່
honeycomb 	 ນໍ້າເຜີ້ງໃນຮວງຮັງ
honry extractor 	 ເຄື່ອງແຍກນໍ້າເຜີ້ງ
hoof	(n) 	 ກີບ, ກີບຕີນສັດ
hook	(n) 	 ຂໍເກາະ
hormone	(n) 	 ຮໍໂມນ
horn	(for animal) (n) 	 ເຂົາສັດ
hornet 	 ແຕນ, ໂຕແຕນ
horns 	 ເຂົາສັດ
horse 	 ມ້າ
horse	(n) 	 ມ້າ
horse fly 	 ເຫຼືກ, ໂຕເຫຼືອກ
horticulture	(n) 	 ການປູກພືດຜັກ
hose	(n) 	 ທໍ່ຢາງ
hospital	(n) 	 ໂຮງໝໍ
host	(for parasites) (n) 	 ສັດກາຝາກ, ພະຍາດກາຝາກ
hot	(adj) 	 ຮ້ອນ
hot basil 	 ໃບຜັກລີ້ນລວງ	(ໃບກະເພົາ)
house	(n) 	 ເຮືອນ
house fly 	 ແມງວັນ
household	(n) 	 ຄົວເຮືອນ
housing	(n) 	 ການປຸກສ້າງບ້ານເຮືອນ
howl	(v) 	 ຫອນ, ເຫົ່າຫອນ
hull	(v) 	 ປອກເປືອກ, ສີເຂົ້າ
humid	(adj) 	 ຊື້ນ, ຊຸ່ມຊື້ນ
humidity	(n) 	 ຄວາມຊຸ່ມ
humus	(n) 	 ຝ່ນ
hunger	(n) 	 ຄວາມອຶຫ
hunt(v), hunting	(n) 	 ລ່າສັດ, ການລ່າສັດ
husband	(n) 	 ຜົວ, ສາມີ
husk	(n) 	 ເປືອກ
husk rice	(v) 	 ສີເຂົ້າ
husked rice 	 ເຂົ້າເປືອກ
husked rice	(n) 	 ເຂົາ້ ສານ
hut	(n) 	 ກະທ້ອນ, ຖຽງນາ, ຕູບ
hutch	(n) 	 ຄອກກະຕ່າຍ
hybrid 	 ລູກຊອດ, ລູກປະສົມ
hybrid	(n) 	 ລູກຊອດ, ລູກປະສົມ
hydraulic	(adj) 	 ແມ່ແຮງ, ໄຮໂດຣລິກ
hydraulic ram	(n) 	 ເຄື່ອງປາໍ້ນໍ້າລະບົບໄຮໂດຣລິກ
hygiene	(n) 	 ຄວາມສະອາດ
immune	(adj) 	 ທົນທານຕໍ່ໂລກ (ພະຍາດ)
impact	(v, n) 	 ຜົນກະທົບ
imperil	(v) 	 ເກີດອັນຕະລາຍ
implement	(v) 	 ເລີ່ມປະຕິບັດ
import	(n) 	 ສິນຄ້າຂາເຂົ້າ
impossible 	 ເປັນໄປບໍ່ໄດ້
impoverish	(v) 	 ເຮັດໃຫ້ໝດ
improve	(v) 	 ເຮັດໃຫ້ດີຂື້ນ, ບໍາລຸງ
in-breed	(v.) 	 ປະສົມເລືອດຊິດ
inappropriate	(adj) 	 ບໍ່ເໝາະສົມ
inarching, approach grafting 	 ການທາບກີ່ງໄມ້, ການຕໍ່ຕາໄມ້
inbred	(n) 	 ໂນ້ມອ່ຽງ, ອ່ຽງ
inbreeding	(n) 	 ການປະສົມແມ່ພັນ
incline	(v) 	 ໂນ້ມອ່ຽງ, ອ່ຽງ
income	(n) 	 ລາຍໄດ້, ເງິນລາຍໄດ້
