0,9 liter	@quart
mahal untuk	@expensive to
mahamulia	@sublime
maharaja	@kaiser
Maharaja	@Maharaja
maharanae	@isteri maharaja
maharani	@empress
mahasiswa	@salutatorian
mahasiswa belum bergelar	@undergraduate
mahasiswa kedokteran	@clinical student	<br>@medical student
mahasiswa/mahasiswi	@collegian
mahasiswa tingkat dua	@sophomore
mahasiswa tingkat prasarjana	@underclassman
mahasiswa tingkat tiga dan empat	@upperclassman
mahasiswa universitas	@university student
mahasiswi	@coed	<br>@girl student
mahatahu	@omniscient
Maha Tinggi	@Most High
Mahatma	@Mahatma
mahir	@skillful
mahir akan	@a crack hand at
mahir;beralasan	@well grounded in
mahir bergaya	@stylewise
mahkamah agung	@high court	<br>@appellate court	<br>@supreme court	<br>@supreme high court
Mahkamah Agung Skotlandia	@Court of Session
mahkamah internasional	@world court	<br>@international court of justice
mahkamah islam tinggi	@high court for mohammedan
mahkamah luar biasa	@special court
mahkamah militer tinggi	@military of high court
mahkota	@diadem
mahkota bunga	@corolla
mahkota intan	@diamond crown
mahluk	@beings
mahluk asing	@alien
mahluk cerdas lainnya	@other thinking thing
mahluk ini	@this being
mahluk itu	@that being
mahogany	@kayu mahoni
mahyong	@pemenang permainan mahyong
maid	@pelayan wanita
maiden	@gadis
maiden flight	@penerbangan perdana
maidenhead	@kegadisan n
maiden-hood	@masa gadis n
maidenlike	@seperti gadis
maidenly	@seperti gadis
maiden market	@pasar perdana
maiden name	@nama sebelum kawin (prp)
maiden speech	@pidato yang sama
maiden voyage	@pelayaran perdana
maid of honour	@pelayan pengantin wanita
mail	@mengeposkan
mail-bag	@kantong pos
mailbag	@kantong surat pos
mailboat	@kapal untuk angkutan pos
mailbox	@bis surat
mail box	@kotak
mail-car	@kereta-pos
mail carrier	@pengantar pos
mailchute	@tempat penyalur surat surat
mail clerk	@pegawai pos
mail connection	@hubungan-pos
mailed	@mengeposkan
mailing	@mengeposkan
mailing-card	@kartu pos n
mailing-list	@daftar alamat
mailman	@pengantar pos
mailmen	@para pengantar pos n
mail office	@kantor pos
mail order	@pesanan per pos
mailorder	@pesanan melalui pos
mail order selling	@jual beli lewat pos
mails	@surat-surat pos
mail station	@kantor pos
mail steamer	@kapal penumpang
mail train	@kereta pengangkut angkutan pos
maim	@melumpuhkan
maimed	@melumpuhkan
maiming	@melumpuhkan
main	@played	<br>@gone out for	<br>@utama	<br>@play
mainan	@toy	<br>@carillon
main anchor	@jangkar utama
main bearing	@bantalan poros-engkol
main bilyar	@play billiard
main boiler	@ketel induk
main brake rod	@batang tarik rem utama
main brush	@sikat-utama
main-building	@bangunan pokok
main cable	@kabel utama
main catur	@play chess
main circuit	@sirkit utama
main clause	@induk kalimat
main-cock	@keran pokok
main condenser	@kondensator utama
main connecting rod	@batang penggerak utama
main connection	@hubungan-utama
main crank	@engkol-utama
main current	@arus utama
main cylinder	@silinder utama
main-deck	@dek utama
main ditch	@terusan-utama
main drive gear	@rodagigi penggerak utama
main duty	@tugas pokok
main engine	@mesin induk
main-entrance	@jalan-masuk utama
main fact	@peristiwa pokok
main fan	@ventilator utama
main field	@medan-utama
main floor	@lantai utama
mainframe	@mainframe
main funnel	@cerobong-utama
main gallery	@selasar-utama
main gate	@pintu-gerbang utama
main gear-wheel	@rodagigi utama
main injection-valve	@katup-masuk utama
main issue	@masalah pokok
main jackpot	@pinball	<br>@pinmachine
main jet	@semprot utama
main job	@tugas utama
main judi	@game of hazard
main kartu	@play card
main-katup	@play of the valve
main keel	@lunas tetap
main kettle	@ketel induk
main land	@daratan besar
mainland	@tanah daratan
main leaf	@daun pokok
main line	@lintas utama
mainly	@sebagian besar
main-main	@triffle	<br>@triffling	<br>@triffled
main mata	@clapping eyes on
main motor	@motor-induk
main nozzle	@perecik utama
main number	@bilangan pokok
main office	@kantor pusat/ kantor besar
main petak umpet	@play bo-peep	<br>@playing bo-peep	<br>@played bo-peep
main phase	@fasa-utama
main piece of rudder	@poros kemudi
main pincangan	@hopscotch
main piping	@saluran pipa utama
main plane	@bidang utama
main plate	@daun pokok
main platform	@peron-utama
main pole	@kutub utama
main port	@pelabuhan utama
main power	@kekuatan pokok
main product	@produk utama
main punishment	@hukuman utama
main purpose	@tujuan utama
main road	@jalan pokok
main runner	@selokan-pokok
mains	@induk
main scale	@skala utama
main shops	@bengkel-induk
main slide-valve	@sorong utama
main slipway	@galangan-utama
mainspring	@per besar
main spur wheel	@rodagigi besar
mainstay	@arus utama
main steam engine	@mesin-uap induk
main steam pipe	@pipa-uap utama
main steam supply	@saluran uap induk
main stop value	@katup tutup utama
mainstream	@tendensi
main street	@jalan raya
main supply meter	@meter-induk
main-switch	@sakelar utama
main-switchboard	@papan-hubung utama
maintain	@memelihara
maintainable	@dapat dipelihara
maintain a goal	@mempunyai cita-cita
maintained	@merawat
maintainer to the security	@pemeliharaan keamanan
maintaining	@memelihara
maintaining or building	@memelihara atau membangun
maintain performance	@mengatur pencapaian
main tangkap-tangkapan	@played catch	<br>@playing catch
maintenance	@pemeliharaan
maintenance agreement	@kontrak pemeliharaan
maintenance contract	@kontrak perawatan
maintenance cost	@biaya pemeliharaan
maintenance department	@departemen pemeliharaan
maintenance department budget	@anggaran departemen pemeliharaan
maintenance engineering	@teknik perawatan
maintenance pattern	@pola pemeliharaan
maintenance premium	@premi pemeliharaan
maintenance role	@peranan pemeliharaan
main-terminal	@apitan utama
main top plane	@sayap-atas
main track	@jalan-rel utama
main tube	@pipa-utama
main turbine	@turbin-utama
main valve	@sorong-pokok
main voltage	@tegangan-pokok
main-water	@air saluran
maisonette	@rumah kecil/apartemen
maize	@maizena/sejenis tanaman jagung
maize grain	@butir jagung
maizena/sejenis tanaman jagung	@maize
maize oil	@minyak jagung
majalah bulanan	@monthly magazine
majalah/gudang senjata	@magazine	<br>@mag
majalah pegawai	@staff magazine
majalah perkenalan	@little magazine
majalah picisan	@pulp magazine
majalah rumah	@house journal
majalah tiga mingguan	@triweekly
(majelis) pengadilan anak-anak	@juvenile court	<br>@children's court
Majelis Permusyawaratan Rakyat	@Provisional People's Consultative Assembly
majelis perwakilan tertinggi	@states-general
Majelis Rendah	@House of Common
Majelis rendah di Inggris	@Lower House
majelis tetua agama	@presbytery
Majelis Tinggi	@House of Lord
majelis tinggi	@senate
Majelis Umum	@General Assembly
majestic	@penuh keagungan
majestically	@dengan berwibawa
majesty	@keagungan
majikan	@guvnor
majolica	@majolica
majolica ware	@mayolika
major	@utama
Majorana force	@kakas Majorana
Majorana neutrino	@neutrino Majorana
Majorana representation	@wakilan Majorana
major axis	@sumbu utama
major axis of elliptic orbit	@sumbu panjang edaran eliptik
major consideration	@pertimbangan utama
majored	@mengutamakan
major effect	@pengaruh besar
major effort	@usaha besar-besaran
major general	@mayor jenderal
majoring	@mengutamakan
majority	@mayoritas
majority domination	@dominasi mayoritas
major league	@liga utama
major ones	@yang lebih besar
major or minor	@besar atau kecil
major part	@bagian terbesar
major people	@sebahagian terbesar ra
major problem	@masalah utama
majors	@jurusan
major scale	@tangga nada mayor
major vote	@suara terbanyak
maju	@forth	<br>@geting ahead	<br>@run on	<br>@going ahead	<br>@geting along	<br>@pushing on	<br>@progressed	<br>@progress	<br>@go forth	<br>@gone ahead	<br>@more developed	<br>@pushed on	<br>@onwards	<br>@push on	<br>@got ahead	<br>@to be in progress	<br>@forward
[maju/ bekerja baik]	@did well
maju/bekerja lancar	@doing well	<br>@do well
maju/berangkat	@set forward
maju berdesak-desak	@push way
maju bergerak sendiri	@selfpropelled
maju/berhasil	@gotten off the ground
maju bersaing	@run against	<br>@ran against
maju cepat sekali	@made a stride in	<br>@making a stride in
maju dengan hati-hati	@nosed	<br>@nose	<br>@nosing
maju dengan perlahan	@jogging on	<br>@jogged on	<br>@jogging along	<br>@jogged along
maju dengan pesat sekali	@made great strides	<br>@making great strides	<br>@make great strides
maju dengan usaha sendiri	@selfmade
maju fase	@phase lead
maju ke depan	@onward
maju ke depan sangat cepat	@stridden forward	<br>@stridden ahead	<br>@striding forward	<br>@striding ahead	<br>@strode forward	<br>@strode ahead	<br>@stride forward	<br>@stride ahead
maju kemuka	@step forward	<br>@stepping forward
maju mengatasi sgl rintangan	@worrying along	<br>@worried along	<br>@worry along
maju merapat	@draw together	<br>@drew together	<br>@drawn together	<br>@drawing together
maju pesat	@made good strides	<br>@advance with seven-league strides	<br>@make good strides	<br>@advancing with seven-league strides	<br>@advanced with seven-league strides	<br>@in big strides	<br>@making good strides	<br>@shot ahead
majus	@magus
maju sedikit demi sedikit	@edged along	<br>@edge along	<br>@edging along	<br>@forged ahead
maju sedikit-sedikit	@forging ahead
maju terus	@barged ahead	<br>@go it	<br>@gone it	<br>@going it	<br>@barge ahead	<br>@ever onwards	<br>@barging ahead
maka	@sic	<br>@accordingly
maka adalah	@it is therefore
maka besok	@so tomorrow
makadam	@macadamised
makadamisasi	@macadamization
makadam ter	@tarvia
maka demikianlah kisahnya	@so the story goes
maka jangan	@then do not
maka ketika	@so whenever	<br>@so when
makam	@sepulcher	<br>@graveyard	<br>@burying ground
makan	@broke bread	<br>@break bread	<br>@broken bread	<br>@eating	<br>@eatten	<br>@ate	<br>@eat	<br>@eaten
makanan	@woof	<br>@food	<br>@meal	<br>@meals	<br>@eatables	<br>@edibles	<br>@pabalum	<br>@nourishment
makanan anjing	@dogfood
makanan atau minuman bergizi	@sustenance
makanan berat	@heavy meal
makanan bergizi	@nutriment
makanan dan minuman	@grub and bub	<br>@food and drink	<br>@food and beverage
makanan dan resep	@recipe and food
makanan dari gandum	@oatmeal
makanan dari jagung	@corn meal
makanan dari nasi	@risotto
makanan dari sorga	@manna
makanan dengan harga dan waktu tertentu	@tabled'hote
makanan dingin	@cold food
makan angin	@taken the air	<br>@taking the air
makanan hasil laut	@seafood
makanan hewan	@fodder	<br>@ensilage
makanan hewan yang kering	@provender
makanan ikan	@fish meals
makanan kalengan	@canned goods
makanan kecil	@snack	<br>@canape
makanan lezat	@goody
makanan-makanan	@victuals
makanan menjaga kesehatan	@protective foods
makanan para dewa yunani	@ambrosia
makanan pembuka	@appetizer	<br>@hors d'oeuvre
makanan pokok	@staple food
makanan pokok sehari-hari	@staff of live
makanan rangsum	@field ration
makanan schnitzel	@schnitzel
makanan seadanya	@potluck
makanan tambahan	@side dish
makan antara pagi-siang	@brunch
makanan yang baik dan cukup	@a square meal
makanan yang cukup	@square meal
makan ayam	@dined off chicken	<br>@dining off chicken	<br>@dine off chicken
makan banyak tanpa kerja -	@eat head off
makan bersama	@messing together	<br>@messed together	<br>@mess with	<br>@mess together	<br>@messed with	<br>@messing with
makan daging	@flesh eating
makan dengan cepat dan lahap -	@walf food
makan dengan lahap	@batten on	<br>@battening on	<br>@eaten out of house and home	<br>@eating out of house and home	<br>@battened on	<br>@ate out of house and home	<br>@eat out of house and home
makan dengan menjilat	@licking something off	<br>@lick something up	<br>@licking something up	<br>@licked something off	<br>@lick something off	<br>@licked something up
makan dengan rakus	@eating heartily	<br>@gormandizing	<br>@ate heartily	<br>@gorged	<br>@gorging	<br>@gormandized	<br>@gorge	<br>@eat heartily	<br>@gormandize	<br>@eaten heartily
makan di luar	@dined out	<br>@dine out	<br>@dining out
makan di luar rumah	@ate out	<br>@eating out	<br>@eat out	<br>@eaten out
makan di rumah	@ate in	<br>@eating in	<br>@eat in	<br>@eaten in
makanika gelombang	@wave meachanics
makan ikan saja	@living on fish	<br>@lived on fish	<br>@live on fish
makan kucing	@catfood
makan malam	@have dinner	<br>@dined	<br>@take dinner	<br>@dine	<br>@dinner	<br>@dining	<br>@supper
makan malam seadanya	@pickup supper
makan/minum dengan cepat	@knocked back	<br>@knocking back
makan (minum) dg terpaksa	@worry down	<br>@worrying down	<br>@worried down
makan sangat cepat	@short work of
makan sedikit-sedikit	@peck at	<br>@pecked at
makan sedikit sekali	@eating like a bird	<br>@eaten like a bird	<br>@ate like a bird
makan segala	@omnivorous
makan siang	@have lunch	<br>@lunch	<br>@luncheon	<br>@take lunch
makan tanpa bayar -	@have the run of teeth
makan terlalu banyak	@overate	<br>@overeat	<br>@overeating	<br>@overeaten
makan ternak yang disimpan dalam gudang	@silage
makaroni	@macarani
maka saya	@so I
maka sekarang	@so now
Makassar Strait	@Selat Makassar
maka tembaklah	@so fire
mak comblang	@procurer
make	@membuat
make a abode	@menetap
make a account of	@mementingkan
make a a pass at	@bermain gila-gilaan
make a bargain	@mencapai persetujuan
make a bed	@menyiapkan tempat tidur
make a bee line for	@memotong jalan
make a big fuss over	@meributkan tentang
make a bloomer	@membuat salah tingkah
make a bolt for	@berlari cepat/melompat ke
make a bolt for it	@lari dengan cepat
make a boomboo	@terangterangan berbuat salah
make a break for it	@berusaha melarikan diri
make a call	@mengadakan kunjungan
make a cat's paw of	@memperbudak
make a change	@mekakukan perubahan
make a circuit of	@mengelilingi
make a clean breast of	@mengakui
make a clean breast of it	@berterus terang
make a clean sweep	@menyapu bersih
make a clean sweep of	@menghapuskan;memerdekakan
make a compliment	@memuji
make a contribution to	@menyumbang kepada
make a convenience of	@menurut maunya
make acquaintance	@memperkenalkan diri
make acquaintance with	@memperkenalkan
make a crack	@mengejek
make a dash	@menubruk/ menyerang
make a date	@berkencan
make a difference	@membedakan
make a display of	@mempertunjukkan
make advances to	@berusaha lebih erat
make a face	@mengerutkan muka
make a face at	@menyeringai
make a false start	@mencuri start
make a feast	@mengadakan pesta
make a flesh creep	@menakut-nakuti
make a flight	@mengadakan penerbangan
make a fool of	@mempermainkan
make a fortune	@menjadi kaya
make a fresh start	@memulai kembali
make after	@memburu
make a fuss	@meributkan
make a fuss of	@memanjakan
make a fuss over	@meributkan tentang
make against	@melakukan perlawanan
make a good living	@berhasil mencari
make a good showing	@berkelakuan baik melakukan
make a good thing out of	@memperoleh keuntungan
make a go of	@berhasil
make a house	@mencapai anggota yang cukup
make a hullabaloo	@membuat keributan
make a killing	@menang lotre
make a living	@mencari uang
make allowance for	@mempertimbangkan
make a long nose	@menekan hidung u mengejek
make a long story short	@meringkas
make a man of	@mendidik . menjadi orang baik
make a martyr of	@berkorban demi
make a match	@menjodohkan
make amends	@mengganti kerugian
make amends to	@minta maaf kepada
make a merit of	@patut mendapat
make a mess of	@mengacaukan
make a million	@menghasilkan banyak uang
make a mint of money	@menghasilkan banyak uang
make a minute of	@mencatat
make a mistake	@melakukan kesalahan
make a mock of	@menertawakan
make a monkey out of	@merasa . doh
make a motion	@memfilmkan/mengusulkan
make a mountain of molehill	@membesarkan hal-hal kecil
make a move	@bergerak; berpindah
make amove	@pindah tempat
make a much of	@mengerti
make a muck of	@mengotori
make an ado	@menimbulkan huru-hara
make an advance	@membayar uang muka
make an appearance	@menampakkan diri
make an appointment with	@membuat kencan dengan
make an attempt	@mencoba
make an attempt on	@mencobai
make and break contact	@kontak interuptor
make and break device	@cakera pemutusan
make an effort	@berikhtiar
make an end of	@mengakhiri;menghabisi
make an error	@bersalah
make an example of	@mengumpamakan
make an experiment	@mengadakan percobaan
make angry	@menjadikan marah
make a night of it	@mewahyukan
make an impression on	@memberi kesan mengharukan
make an invention	@menciptakan
make an issue	@menimbulkan perdebatan
make an oath	@bersumpah mengangkat sumpah
make an objection to	@berkeberatan atas
make a noise about	@mengeluh agar diperhatikan
make a phone call	@menelepon
make appearance	@menunjukkan diri
make application	@mengajukan lamaran
make arrangement	@mengatur
make arrangements for	@menyusun vb
make as if	@berbuat seolah-olah
make as though	@berpura-pura
make at	@menyerang
make at home	@menganggap seperti dirumah sendiri
make a trip	@melancong melawat
make a virtue of necessity	@berbuat dengan terpaksa
make a voyage	@berlayar
make away with	@berhasil membawa lari
make away with oneself	@bunuh diri
make a will	@membuat surat wasiat
make a wry face	@bermuka masam
make belief	@hal berpura-pura
make believe	@meyakinkan
make better	@memperbaiki
make blind	@membutakan
make blood boil	@membuat . sangat marah
make blood run cold	@mengerikan
make bold	@memberanikan diri
make bold to	@memberanikan diri
make book	@bertaruh
make both ends meet	@hidup dengan hormat
make bow	@muncul di publik pertama kali
make bricks without straw	@membuat sesuatu tanpa bahan yang cukup
make capital of	@mengambil keuntungan dari
make certain	@memastikan
make choice of	@memilih
make clear	@menjelaskan
make common cause with	@mengambil tindakan
make compulsory	@mewajibkan
make conections	@menyambung perjalanan
make conspicuous	@menarik perhatian . lewat ulah
make contact	@membuat kontak
make contact with	@menghubungi
make demands on	@menggunakan
make difficulty	@membuat kesuh
make dirty	@mencemarkan
make disappear	@menghilangkan
make do	@memanfaatkan
make do and mend	@memperbaiki barang usang
make do with	@memimpin/mencukupi dengan
make ducks and drakes of	@menghambur-hamburkan
make easy	@menggampangkan
make ends meet	@mencukup-cukupkan
make escape	@melarikan diri
make every effort	@berusaha keras
make experiments	@membuat percobaan
make eyes at	@bermain mata dengan
make faces	@bermuka masam
make faces at	@menggeringsing; bermuka masampada
make fast	@menambatkan
make faster	@mempercepat
make flesh creep	@membuat bulu kuduk . berdiri
make for	@buat[kan] bagi
make fortune	@menjadi kaya
make free	@membebaskan
make free use of	@menggunakan dengan bebas
make free with	@menggunakan semaunya
make friends	@berteman
make friends again	@berteman kembali
make friends with	@bersahabat dengan
make fun of	@memperolokkan
make game of	@memperolok-olok
make good	@berhasil
make good going	@memperoleh kemajuan besar
make good strides	@maju pesat
make good time	@bersenang-senang
make gorge rise	@membuat mual
make go round	@mencukupkan dengan
make great strides	@maju dengan pesat sekali
make hair stand and end	@membuat bulu kuduk . berdiri -
make haste	@bersegera
make havoc	@membinasakan
make hay	@menarik keuntungan
make hay of	@mengacaukan
make hay while the sun shines	@menggunakan kesempatan sebaikbaiknya
make head against	@menenangkan/melawan
make head go round	@membingungkan
make head or tail	@memahami
make head or tail of	@memahami
make head reel	@membingungkan
make headway	@membuat kemajuan
make heavy use of	@memberatkan
make inquiries	@menyelidiki/mohon keterangan
make inroads on	@menganggur
make into	@mengubah
make introduction	@berkenalan
make it big	@menjadi sangat berhasil
make it more	@untuk membuatnya makin
make it out	@mengerti
make it snappy	@bersegeralah
make it stick	@mendisiplinkan
make it study	@berusaha sekuat tenaga
make it up	@memperbaiki
make it up to	@berusaha menyenangkan
make it worth a while	@menguntungkan/berguna bagi
make known	@memperkenalkan
make land	@mendaratkan
makelar	@comodity broker	<br>@middleman
makelar asuransi kapal laut	@marine insurance broker
makelar barang tak bergerak	@realtor
[makelar cabul/ promotor]	@match maker
[makelar cabul/ promotor] wanita	@match makeress
makelar devisa	@exchange brokers
makelar saham	@stockbroker	<br>@stocks broker
makelar tanah	@land-agent
makelar valuta asing	@foreign exchange broker
make lee way	@membias
make light of	@memudahkan
make like	@meniru
make little of	@mwngecilkan
make living stand	@hidup dari -
make love	@memeluk
make love to	@bermain cinta dengan
make manners	@menghormati
make man well	@membuat sehat
make mark	@menjadi terkenal -
make matters worse	@mempersulit persoalan
make merry	@bersenang-senang/ berpesta
make mincemeat of	@kalah total/ mencincang
make mischief	@mengakibatkan pertengkaran
make mischief between	@menjelek-jelekkan orang lain
make money	@mencari uang
make money hand over fist	@mendapat penghasilan besar
make money out	@menjadi kaya
make mountains out of molehill	@melebih-lebihkan kesukaran
make mouth water	@menimbulkan keinginan
make much of	@memuji-muji
make negotiation	@merundingkan
make no apology	@tidak menyesal
make no bones about	@bicara terus terang
make no difference	@tidak membedakan
make no doubt	@menegaskan
make no impression on	@tidak mengesankan
make no matter	@tidak mengapa
make no mistake	@yakin
make no odds	@tiada bedanya
make nooses for own neck	@menggantung diri -
make no secret of	@tidak merahasiakan
make note	@mencatat
make nothing of	@meremehkan
make not much difference	@tidak menjadi masalah
make of	@memperjelas
make off	@melarikan diri
make off with	@melarikan
make only small contribution	@hanya untuk memberikan sedikit dukungan
make or break	@berhasil atau gagal sama sekali; menang atau kalah
make or mar	@berhasil atau rusak total
make out	@memenuhi/mengatasi
make out a case for	@menentang
make out case	@membuktikan ketidaksalahan
make out to be	@menyatakan/menegaskan pada
make overtures to	@mengusulkan sesuatu
make peace	@berdamai
make pile	@memperoleh banyak uang
make place for	@memberi tempat kepada
make plain	@menjelaskan
make points	@memenangkan perdebatan
make posses at	@bercumbuan dengan
make prize of	@menjarah
make progress	@mendapat kemajuan
make provision against	@siap menghadapi
make queue	@antri
maker	@pembuat
make ready	@menyiapkan
make reference to	@merujuk ke
make resprisals	@membalas
make room for	@memberi tempat tinggal
maker's mark	@meterai kenegaraan
make sail	@mulai berlayar
make scarce	@berlalu -
make scruple	@segan
make sense	@bisa dipertimbangkan
make sense out of	@mengerti
make shift	@bersusah payah
makeshift	@sementara
make shift with	@berikhtiar
make shipwreck of	@menghancurkan
make short work of	@cepat-cepat menghabiskan
make sit up	@mengejutkan
make slow	@memperlambat
make sport of	@mengolok-olok
make stare	@membuat terkejut
make sure	@meyakinkan
make sure of	@memastikan
make sure to	@menjaga supaya
make talk	@bermain dengan mahir
make tea	@menyiapkan teh
make terms with	@membuat perjanjian dengan
make the acquaintance of	@mengenal benar-benar
make the bed	@mempersiapkan tempat tidur
make the best of	@berusaha sebaik mungkin
make the best the use of	@memanfaatkan sebaik-baiknya
make the difference	@membuat perbedaan
make the effort	@berusaha
make the feathers fly	@menyerang dengan gencar
make the fur fly	@merusuhkan;meributkan
make the grade	@mencapai sukses
make them one	@menyatukan mereka
make the most of	@mempergunakan dengan baik
make the point	@menunjukkan cara
make the point that	@menunjukkan bahwa
make the round of	@mengelilingi
make the rounds	@merondai
make the scene	@muncul; berkunjung; tiba
make the two into one	@membuat yang dua menjadi satu
make things hum	@menggiatkan
make tich	@memberi alasan
make tick	@berdasar pada/menjadikan
make time	@ngebut
make toilet	@berdandan -
make too much of	@memanjakan
make to specifications	@membuat rencana secara terperinci
make towards	@menuju ke
make tracks	@lari pergi
make tracks for	@mencari jejak
make trial of	@mencoba
make trouble	@membuat kesuka
make-up	@merias
make up a purse for	@mengumpulkan dana untuk
make-up cream	@krim kecantikan
make up for	@mengejar
make up for lost time	@mengejar ketinggalan
make up leeway	@berusaha lolos dari jepitan
make up mouth for	@ingin makan -
make-up of	@peningkatan
make up of train	@susunan rangkaian kereta api
make up the ground	@mencapai keberhasilan
make up to	@bermanis-manis
make useful	@melakukan hal berguna -
make use of	@menggunakan
make use of it	@gunakan itu
make void	@menyia-nyiakan/ menghapuskan
make war	@berperang
make water	@ngompol
make waves	@membuat keributan
make way	@membuka jalan
make way for	@menyiapkan jalan untuk
make-weight	@tambahan berat
make whoopee	@bersuka ria
make within	@membuat di dalam
make worse	@memperburuk
makhluk	@creature
makhluk hidup	@living thing
makian	@objurgation	<br>@invective	<br>@bad language
makian empat huruf	@four-letter word
makian kasar	@vituperation
makin baik	@the better
makin banyak makin baik	@the more the better
makin cepat makin baik	@the sooner the better
making	@membuat
making a abode	@menetap
making a account of	@mementingkan
making a bargain	@mencapai persetujuan
making a bed	@menyiapkan tempat tidur
making a bee line for	@memotong jalan
making a big fuss over	@meributkan tentang
making a bloomer	@membuat salah tingkah
making a bolt for	@berlari cepat/melompat ke
making a bolt for it	@lari dengan cepat
making a boomboo	@terangterangan berbuat salah
making a break for it	@berusaha melarikan diri
making a call	@mengadakan kunjungan
making a cat's paw of	@memperbudak
making a change	@melakukan perubahan
making a circuit of	@mengelilingi
making a clean breast of	@mengakui
making a clean breast of it	@berterus terang
making a clean sweep	@menyapu bersih
making a clean sweep of	@menghapuskan;memerdekakan
making a compliment	@memuji
making a contribution to	@menyumbang kepada
making acquaintance with	@memperkenalkan
making a crack	@mengejek
making a dash	@menubruk/ menyerang
making a date	@berkencan
making a difference	@membedakan
making advances to	@berusaha lebih erat
making a face	@mengerutkan muka
making a face at	@menyeringai
making a flight	@mengadakan penerbangan
making a fool of	@mempermainkan
making a fortune	@menjadi kaya
making a fresh start	@memulai kembali
making after	@memburu
making a fuss	@meributkan
making a fuss of	@memanjakan
making a fuss over	@meributkan tentang
making against	@melakukan perlawanan
making a good living	@berhasil mencari
making a good showing	@berkelakuan baik melakukan
making a good thing out of	@memperoleh keuntungan dari
making a hit with	@membuat hit lewat
making a house	@mencapai anggota yang cukup
making a hullabaloo	@membuat keributan
making a killing	@menang lotre
making a laughing stock of	@memperolok
making a living	@mencari uang
making allowance for	@mempertimbangkan
making a long nose	@menekan hidung u mengejek
making a long story short	@meringkas
making a man of	@mendidik . menjadi orang baik
making a martyr of	@berkorban demi
making a match	@menjodohkan
making amends	@mengganti kerugian
making amends to	@minta maaf kepada
making a merit of	@patut mendapat
making a mess of	@mengacaukan
making a million	@menghasilkan banyak uang
making a mint of money	@menghasilkan banyak uang
making a minute of	@mencatat
making a mistake	@melakukan kesalahan
making a mock of	@mengejek
making a monkey out of	@membodohi
making a motion	@memfilmkan/mengusulkan
making a mountain of molehill	@membesarkan hal-hal kecil
making a move	@berpindah
making a muck of	@mengotori
making an ado	@menimbulkan huru-hara
making an advance	@membayar uang muka
making an appearance	@menampakkan diri
making an appointment with	@membuat janji temu dengan
making an ass of	@melakukan hal bodoh atas
making an attempt	@mencoba
making an attempt on	@berusaha melakukan
making an effort	@berikhtiar
making an end of	@mengakhiri;menghabisi
making an example of	@mengumpamakan
making an experiment	@mengadakan percobaan
making angry	@menjadikan marah
making a night of it	@mewahyukan
making an impression on	@memberi kesan mengharukan
making an invention	@menciptakan
making an issue	@menimbulkan perdebatan
making an oath	@bersumpah mengangkat sumpah
making an objection to	@berkeberatan atas
making a noise about	@mengeluh tentang
making a noise in the world	@menjadi terkenal
making an opening for	@memberi kesempatan kepada
making a note of	@mencatat
making a picture	@memotret
making a pile	@menjadi kaya
making a pitch for	@berusaha mendapatkan
making a play for	@berusaha menenangkan
making a point	@mendapat angka
making a point of	@menganggap penting
making a port	@berlabuh
making application	@mengajukan lamaran
making a practice of	@membiasakan diri
making a pretoxt of	@memberi alasan
making a proposal	@mengajukan usul
making a racket	@menimbulkan banyak suara
making a request	@meminta
making a return	@melaporkan dengan resmi
making a row	@berbantahan bertengkar
making arrangement	@mengatur
making arrangements for	@menyusun
making a scene	@membuat keributan
making a shrewd guess	@menerka dengan cepat
making as if	@berbuat seolah-olah
making a sign to	@memberi isyarat pada
making a slip	@khilaf
making a snapshot	@memotret
making a splash	@menarik perhatian orang
making a stab at	@mencoba/mempertunjukkan
making a stand	@membuat pertahanan
making as though	@berpura-pura
making a stir	@menggegerkan
making a stop	@berhenti
making a stride in	@maju cepat sekali
making a success of	@berhasil melakukan
making at	@menyerang
making a touch	@mencopet meminjam uang
making a tour	@bertamasya
making a train	@naik kereta api
making a trip	@melancong melawat
making a virtue of necessity	@menyesuaikan diri
making a voyage	@berlayar
making away with	@berhasil membawa lari
making a will	@membuat surat wasiat
making a wry face	@bermuka masam
making believe	@meyakinkan
making blind	@membutakan
making blood run cold	@mengerikan
making bold	@memberanikan diri
making bold to	@memberanikan diri untuk
making book	@bertaruh
making both ends meet	@hidup tidak berkekurangan
making bow	@muncul di publik pertama kali
making bricks without straw	@membuat tanpa bahan yg cukup
making capital of	@mengambil keuntungan dari
making certain	@memastikan
making choice of	@memilih
making clear	@menjelaskan
making common cause with	@mengambil tindakan atas
making compulsory	@mewajibkan
making conections	@menyambung perjalanan
making conspicuous	@menarik perhatian . lewat ulah
making contact with	@menghubungi
making dirty	@mencemarkan
making disappear	@menghilangkan
making do	@memanfaatkan
making do and mend	@memperbaiki barang usang
making do with	@memimpin/mencukupi dengan
making ducks and drakes of	@menghambur-hamburkan
making easy	@menggampangkan
making ends meet	@mencukup-cukupkan
making escape	@melarikan diri
making every effort	@berusaha keras
making eyes at	@bermain mata dengan
making faces	@bermuka masam
making faces at	@bertingkah
making fast	@menambatkan
making flesh creep	@membuat bulu kuduk . berdiri
making for	@menuju/kan
making free	@membebaskan
making free use of	@menggunakan dengan bebas
making free with	@menggunakan semaunya
making friends	@berteman
making friends again	@berteman kembali
